A,0,0,77.00
A,0,1,88.00
A,0,2,45.00
A,0,3,87.00
A,0,4,51.00
A,0,5,22.00
A,0,6,77.00
A,0,7,75.00
A,0,8,28.00
A,0,9,58.00
A,0,10,9.00
A,0,11,41.00
A,0,12,49.00
A,0,13,59.00
A,0,14,94.00
A,0,15,65.00
A,0,16,71.00
A,0,17,67.00
A,0,18,9.00
A,0,19,62.00
A,0,20,94.00
A,0,21,45.00
A,0,22,76.00
A,0,23,91.00
A,0,24,86.00
A,0,25,33.00
A,0,26,10.00
A,0,27,64.00
A,0,28,2.00
A,0,29,14.00
A,0,30,38.00
A,0,31,73.00
A,0,32,78.00
A,0,33,35.00
A,0,34,67.00
A,0,35,46.00
A,0,36,83.00
A,0,37,70.00
A,0,38,23.00
A,0,39,59.00
A,0,40,92.00
A,0,41,11.00
A,0,42,7.00
A,0,43,83.00
A,0,44,4.00
A,0,45,40.00
A,0,46,40.00
A,0,47,73.00
A,0,48,52.00
A,0,49,12.00
A,0,50,86.00
A,0,51,11.00
A,0,52,4.00
A,0,53,82.00
A,0,54,4.00
A,0,55,41.00
A,0,56,26.00
A,0,57,4.00
A,0,58,55.00
A,0,59,19.00
A,0,60,85.00
A,0,61,24.00
A,0,62,54.00
A,0,63,94.00
A,0,64,43.00
A,0,65,42.00
A,0,66,71.00
A,0,67,23.00
A,0,68,27.00
A,0,69,98.00
A,0,70,86.00
A,0,71,76.00
A,0,72,7.00
A,0,73,63.00
A,0,74,47.00
A,0,75,85.00
A,0,76,31.00
A,0,77,3.00
A,0,78,14.00
A,0,79,86.00
A,0,80,66.00
A,0,81,79.00
A,0,82,30.00
A,0,83,3.00
A,0,84,47.00
A,0,85,7.00
A,0,86,51.00
A,0,87,28.00
A,0,88,53.00
A,0,89,57.00
A,0,90,44.00
A,0,91,68.00
A,0,92,28.00
A,0,93,79.00
A,0,94,75.00
A,0,95,66.00
A,0,96,99.00
A,0,97,26.00
A,0,98,41.00
A,0,99,88.00
A,0,100,94.00
A,0,101,20.00
A,0,102,13.00
A,0,103,90.00
A,0,104,84.00
A,0,105,38.00
A,0,106,46.00
A,0,107,19.00
A,0,108,25.00
A,0,109,87.00
A,0,110,63.00
A,0,111,46.00
A,0,112,69.00
A,0,113,83.00
A,0,114,87.00
A,0,115,27.00
A,0,116,3.00
A,0,117,5.00
A,0,118,50.00
A,0,119,93.00
A,0,120,40.00
A,0,121,34.00
A,0,122,52.00
